,manager,predicted_points_per_season_added,previous_club_names,previous_club_ids,previous_club_countries,current_club_name,current_club_id,currently_employed
173,Élie Baup,-0.0525516861031182,"['Saint-Étienne', 'Toulouse', 'Nantes', 'Marseille']","[618, 415, 995, 244]","['France', 'France', 'France', 'France']",,,0
174,Francisco Chaparro Jara,-0.055133843384442,"['Real Betis', 'Real Betis']","[150, 150]","['Spain', 'Spain']",,,0
175,Andrea Manzo,-0.0556335010394698,['Parma'],[130],['Italy'],,,0
176,Gennaro Gattuso,-0.0573760925434095,['AC Milan'],[5],['Italy'],AC Milan,5.0,1
177,Devis Mangia,-0.061918475758978,['Palermo'],[458],['Italy'],,,0
178,Martin Jol,-0.0722321732125957,"['Tottenham', 'Hamburg', 'Fulham']","[148, 41, 931]","['England', 'Germany', 'England']",,,0
179,Ivan Hasek,-0.0739990849332465,['Saint-Étienne'],[618],['France'],,,0
180,Santiago Solari,-0.0782471121283405,['Real Madrid'],[418],['Spain'],Real Madrid,418.0,1
181,Constantin Galca,-0.0829803475154747,['Espanyol'],[714],['Spain'],,,0
182,Manolo Márquez,-0.0884833612336594,['Las Palmas'],[472],['Spain'],,,0
183,Miguel Ángel Portugal,-0.0937358119596694,"['Racing Santander', 'Racing Santander']","[630, 630]","['Spain', 'Spain']",,,0
184,Hans Meyer,-0.0969481886614894,"['Nürnberg', 'Borussia Mönchengladbach']","[4, 18]","['Germany', 'Germany']",,,0
185,Renzo Gobbo,-0.0986706240869675,['Palermo'],[458],['Italy'],,,0
186,Gustavo Poyet,-0.102199315684834,"['Sunderland', 'Real Betis', 'Bordeaux']","[289, 150, 40]","['England', 'Spain', 'France']",,,0
187,Ronald Koeman,-0.105862876398406,"['Valencia', 'Southampton', 'Everton']","[1049, 180, 29]","['Spain', 'England', 'England']",,,0
188,Dirk Schuster,-0.108465099499884,"['Darmstadt', 'Augsburg']","[105, 167]","['Germany', 'Germany']",,,0
189,Giovanni Tedesco,-0.10992919877889899,['Palermo'],[458],['Italy'],,,0
190,Juan Carlos Unzué,-0.12251357120197098,['Celta Vigo'],[940],['Spain'],,,0
191,Iñaki Tejada,-0.12352794909586301,['Sporting Gijón'],[2448],['Spain'],,,0
192,Michael Wiesinger,-0.124314634480739,['Nürnberg'],[4],['Germany'],,,0
193,Giovanni Bosi,-0.12461192959343,['Palermo'],[458],['Italy'],,,0
194,Alex Dupont,-0.126312218886138,"['Brest', 'Ajaccio']","[3911, 1147]","['France', 'France']",,,0
195,Roy Keane,-0.13001379157471601,['Sunderland'],[289],['England'],,,0
196,Pierre Dréossi,-0.130677909283459,['Rennes'],[273],['France'],,,0
197,Bernd Schuster,-0.13273433598880197,"['Levante', 'Getafe', 'Real Madrid', 'Málaga']","[3368, 3709, 418, 1084]","['Spain', 'Spain', 'Spain', 'Spain']",,,0
198,Luigi Simoni,-0.134739770792602,['Siena'],[1387],['Italy'],,,0
199,Yves Bertucci,-0.13606782920555902,['Le Mans'],[1164],['France'],,,0
200,Alan Curbishley,-0.13838357523364098,"['Charlton', 'West Ham']","[358, 379]","['England', 'England']",,,0
