,TM_manager_name,tenure1_overperformance,tenure1_above_expectation,tenure2_overperformance,tenure2_above_expectation,tenure3_overperformance,tenure3_above_expectation,tenure4_overperformance,tenure4_above_expectation,tenure5_overperformance,tenure5_above_expectation
161,Iain Dowie,0,-0.11048773733682182,,,,,,,,
162,Jacky Duguépéroux,0,-0.06820166828217533,,,,,,,,
163,Mark Hughes,1,0.16621968438925783,0.0,-0.22750279970290088,0.0,-0.02053236800819036,0.0,-0.32811331185253345,1.0,0.041699515321683034
164,Jacques Santini,1,0.18831607659970118,,,,,,,,
165,Peter Stöger,0,-0.009243253047393818,0.0,-0.22293397417484617,,,,,,
166,Alan Irvine,0,-0.29776511115213833,,,,,,,,
167,Phil Brown,0,-0.04847423924355598,,,,,,,,
168,André Villas-Boas,0,-0.5164214986239433,1.0,0.10660209930457953,,,,,,
169,Steve Kean,0,-0.27050123088188904,,,,,,,,
170,Roy Hodgson,1,0.12337326141564842,0.0,-0.5566765785474339,1.0,0.2974275322734845,1.0,0.06285416369170349,,
171,Walter Zenga,1,0.046305495299094,1.0,0.08962915243006842,,,,,,
172,Rolland Courbis,0,-0.057008023861705004,1.0,0.0526333586898331,0.0,-0.2048701387113121,,,,
173,Dominique Bijotat,0,-0.15132051627497356,,,,,,,,
174,Máximo Hernández,0,-0.06905822554343577,,,,,,,,
175,Albert Emon,0,-0.10087942725226262,0.0,-0.1130200507089616,0.0,-0.08786536723632588,,,,
176,Fred Rutten,0,-0.25251532651782393,,,,,,,,
177,Marco Pezzaiuoli,0,-0.35796874152609726,,,,,,,,
178,Mario Beretta,0,-0.13865389523054472,0.0,-0.0564083402683464,0.0,-0.2360403064784058,1.0,0.2748865034769077,0.0,-0.1580888459004539
179,Carlo Mazzone,0,-0.07949211913716181,0.0,-0.29346826451892805,,,,,,
180,Walter Mazzarri,1,0.10025999839911215,1.0,0.06602587440829844,1.0,0.19300221723448452,0.0,-0.07388224648671637,0.0,-0.11191230375501093
181,Daniele Arrigoni,1,0.11046988087990162,0.0,-0.0574528052508001,,,,,,
182,Pietro Carmignani,1,0.12807163670251498,,,,,,,,
183,Joe Kinnear,0,-0.19715059806922963,,,,,,,,
184,Vanderlei Luxemburgo,0,-0.055708694967052885,,,,,,,,
185,Stefan Ruthenbeck,0,-0.3383909372601659,,,,,,,,
186,Serge Le Dizet,0,-0.16376718158519443,,,,,,,,
187,Alan Pardew,1,0.1297703018303631,0.0,-0.020939178746149256,1.0,0.03802600650186161,1.0,0.09274720001471781,0.0,-0.6902629987367932
188,Jean-Louis Gasset,0,-0.27422492483464933,1.0,0.3863863763381179,,,,,,
189,Xavier Gravelaine,0,-0.05968152097648893,,,,,,,,
190,Luigi De Canio,0,-0.11039066118303942,1.0,0.017101064770324026,,,,,,
191,Louis van Gaal,0,-0.1379006967188683,0.0,-0.10546305952692325,,,,,,
192,Chuchi Cos,0,-0.31054785887361824,,,,,,,,
193,Francis Gillot,1,0.09470809984755135,1.0,0.08606003019082986,1.0,0.06444675482598483,,,,
194,Roberto Donadoni,1,0.37384458899844075,0.0,-0.3374344411443486,1.0,0.10308772355888496,1.0,0.025870798776203463,0.0,-0.05180682534169612
195,Viktor Skripnik,1,0.05015097402560831,,,,,,,,
196,Dino Zoff,0,-0.6851913285692244,,,,,,,,
197,Laurent Fournier,0,-0.08852909990687374,0.0,-0.4495935810997739,,,,,,
198,Alberto Cavasin,1,0.2640693465194397,0.0,-0.452372215819264,,,,,,
199,Stuart Pearce,0,-0.13696693533318682,,,,,,,,
200,Fabrizio Castori,1,0.17666082443564535,,,,,,,,
201,Stefano Colantuono,1,0.23354204946558332,0.0,-0.0023524084934951617,0.0,-0.16514902176518453,,,,
202,Massimo Ficcadenti,1,0.14682324227932642,0.0,-0.4135514744198818,,,,,,
203,Giuseppe Iachini,0,-0.10626571267452678,0.0,-0.056018067080744416,0.0,-0.08749825877844075,1.0,0.22011316772964484,1.0,0.13044608961277726
204,Mario Somma,0,-0.07883818209315319,,,,,,,,
205,Giuseppe Pillon,1,0.1374494235935666,,,,,,,,
206,Stefano Pioli,0,-0.45680885811400007,1.0,0.1443537102277852,1.0,0.015118955432697145,0.0,-0.0618698651201508,0.0,-0.06723247177986469
207,Massimo Silva,1,0.1459696838281903,,,,,,,,
208,Nedo Sonetti,1,0.19573783131776823,0.0,-0.27696637128377843,,,,,,
209,Attilio Tesser,0,-0.29290045781459095,,,,,,,,
210,Alain Perrin,0,-0.3729591177302559,1.0,0.2679540917203629,1.0,0.13413032295686533,0.0,-0.39903564196509667,,
211,Fernando Orsi,0,-0.2803983243778283,,,,,,,,
212,Mike Büskens,0,-0.4818901422978128,,,,,,,,
213,Ralph Hasenhüttl,1,0.17252088505331442,1.0,0.5531610849963473,,,,,,
214,Frédéric Antonetti,1,0.1117429533328611,1.0,0.003174638538274488,1.0,0.08909228330220675,,,,
215,Juande Ramos,1,0.2521256766543043,0.0,-0.49574939586931976,1.0,0.11023832546697632,1.0,0.023137931220910346,,
216,Ricardo Gomes,1,0.1643258443239093,0.0,-0.09276285762342984,,,,,,
217,Paul Lambert,1,0.37543886946993554,0.0,-0.11298138110781752,0.0,-0.38965653810815626,,,,
218,Joe Zinnbauer,0,-0.21174354320371824,,,,,,,,
219,Gabriel Calderón,0,-0.5003339327993083,,,,,,,,
220,Marcelo Bielsa,0,-0.19276708212478666,1.0,0.22956197871728157,,,,,,
221,Fran Escribá,0,-0.03317188950656025,0.0,-0.2815233249557041,1.0,0.1753876627143547,,,,
222,Manolo Preciado †,0,-0.12800055311145964,1.0,0.02805032478865832,,,,,,
223,Antonio Tapia,1,0.1022357394935256,1.0,0.41238954761169544,,,,,,
224,Nando Yosu,1,0.2782224537575917,,,,,,,,
225,Carlos Bianchi,0,-0.3841210185847381,,,,,,,,
226,Víctor Espárrago,0,-0.1313550917390779,,,,,,,,
227,Steve Clarke,1,0.11780614973633341,,,,,,,,
228,Chris Hughton,1,0.08328056649709903,1.0,0.02963576980222582,1.0,0.13817349330265405,,,,
229,Javier Clemente,1,0.291201678624073,0.0,-0.006613569706662936,,,,,,
230,José Luis Mendilibar,0,-0.02242253360464197,1.0,0.11032619990356762,1.0,0.13673329923635702,,,,
231,Hugo Sánchez,1,0.02935244192379516,,,,,,,,
232,Luis Fernandez,0,-0.24037688066252727,,,,,,,,
233,Nigel Pearson,1,0.16910265051265216,,,,,,,,
234,Frédéric Hantz,1,0.22861708075854192,0.0,-0.39779829004473966,0.0,-0.41724541013197514,1.0,0.10347484509639804,1.0,0.09735299603540182
235,Jean-Marc Furlan,0,-0.1526588534009814,0.0,-0.16176496908786642,0.0,-0.31206016197096986,,,,
236,Lawrie Sanchez,0,-0.39867643787709617,,,,,,,,
237,Marco Kurz,1,0.028370449199128345,,,,,,,,
238,Juan Ramón López Caro,0,-0.26345281792655983,0.0,-0.1420808660791053,,,,,,
239,Esteban Vigo,0,-0.12715065751759713,,,,,,,,
240,José Pasqualetti,1,0.02540707948265042,0.0,-0.03131886531509975,,,,,,
241,Luigi Cagni,1,0.19350523237586081,,,,,,,,
242,Roberto Rizzo,0,-0.22051986334612494,,,,,,,,
243,José Mari Amorrortu,0,-0.04670160621411279,,,,,,,,
244,Glenn Roeder,0,-0.027073938712544265,,,,,,,,
245,Diego Simeone,1,0.2704427299981591,1.0,0.25871987266432317,,,,,,
246,Mario Luna,1,0.13459799392468708,,,,,,,,
247,Christian Streich,1,0.12988629501734272,,,,,,,,
248,Rolando Maran,1,0.11797592256541933,0.0,-0.04420711426685964,0.0,-0.004698176341121574,,,,
249,Pepe Murcia,1,0.1134078698392802,,,,,,,,
250,Giovanni Galeone,1,0.12189559542933392,,,,,,,,
251,Gian Piero Ventura,1,0.030858979745148174,1.0,0.07004215268563585,,,,,,
