country,party_id,party_abbrev,party_name_english,previous_election_date,previous_election_source,previous_election_share,previous_election_notes,previous_election_total_votes,previous_election_party_votes,latest_election,latest_election_source,latest_election_share,latest_election_notes,last_election_total_votes,last_election_party_votes
France,622,PRV,"Radical Party	Parti radical",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,1.2,,25952859,311434,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,0,,22654164,0
France,623,AC,"Centrist Alliance	Alliance centriste",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,0.6,,25952859,155717,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,0,,22654164,0
France,624,PG,"Left Party	Parti de Gauche",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,0,,25952859,0,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,0,,22654164,0
France,625,Ens,"Together	Ensemble",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,0,,25952859,0,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,0,,22654164,0
France,626,LREM,"La République en Marche	The Republic on the Move",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,0,,25952859,0,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,28.2,,22654164,6388474
France,627,Insoumis,"La France Insoumise	France Unbowed",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,0,,25952859,0,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,11,,22654164,2491958
France,628,DLF,"Debout la France	France Arise",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,0,,25952859,0,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,1.2,,22654164,271850
Ireland,701,FF,"Soldiers of Destiny	Fianna Fáil",2011,http://www.parlgov.org/explore/IRL/election/2011-02-25/,17.5,,2220359,388563,2016,http://www.parlgov.org/explore/IRL/election/2016-02-26/,24.4,,2132790,520401
Ireland,702,FG,"Family of the Irish	Fine Gael",2011,http://www.parlgov.org/explore/IRL/election/2011-02-25/,36.1,,2220359,801550,2016,http://www.parlgov.org/explore/IRL/election/2016-02-26/,25.5,,2132790,543861
Ireland,703,Lab,"Labour	Páirti Lucht Oibre",2011,http://www.parlgov.org/explore/IRL/election/2011-02-25/,19.5,,2220359,432970,2016,http://www.parlgov.org/explore/IRL/election/2016-02-26/,6.6,,2132790,140764
Ireland,705,GP,"Green Party	Comhaontas Glas",2011,http://www.parlgov.org/explore/IRL/election/2011-02-25/,1.9,,2220359,42187,2016,http://www.parlgov.org/explore/IRL/election/2016-02-26/,2.7,,2132790,57585
Ireland,707,SF,"We Ourselves	Sinn Féin",2011,http://www.parlgov.org/explore/IRL/election/2011-02-25/,9.9,,2220359,219816,2016,http://www.parlgov.org/explore/IRL/election/2016-02-26/,13.9,,2132790,296458
