sex,age_bucket,lgbtq,inc_bucket,educ_n,region6,tenure3,poli_int_bucket,ge15_5,ge17_5,pop,pred_deal,pred_no_deal,pred_remain
Male,30-44,straight,35_50,3,Midlands,mortgage,middling,DNV,Lab,5100,15.7,14.7,69.6
Male,60-75,straight,25_35,3,South,own,middling,Con,Con,102400,36.3,45,18.8
Male,18-29,straight,35_50,4,Wales,mortgage,high,Oth,Oth,900,6,4.4,89.5
Female,75+,straight,5_15,3,Wales,own,middling,Con,Con,2500,51.4,34.5,14.2
Male,60-75,straight,15_25,4,Scotland,own,low,DNV,DNV,1600,25.3,31.4,43.2
Female,60-75,straight,15_25,2,South,rent,middling,DNV,Con,1900,40.9,48.1,11.1
Female,18-29,straight,50+,4,Scotland,mortgage,middling,Con,Con,700,34.5,12.5,53
Female,30-44,straight,35_50,3,Midlands,mortgage,high,Con,Oth,300,16.4,10.6,73
Male,45-60,straight,25_35,3,North,mortgage,middling,Lab,Oth,1300,15.6,17.4,67
Female,45-60,straight,15_25,3,North,rent,low,Con,Oth,1200,31.7,18.3,50
Female,75+,straight,5_15,1,South,own,low,Lab,Lab,1400,30.8,22.2,47
Female,60-75,straight,15_25,2,South,own,middling,DNV,Oth,2400,29.1,20.1,50.8
Female,18-29,straight,25_35,3,Scotland,mortgage,middling,DNV,Lab,2100,13.7,6.3,79.9
Male,60-75,straight,15_25,4,North,rent,high,DNV,DNV,900,16.6,49.7,33.7
Male,45-60,straight,15_25,4,Midlands,own,middling,Oth,DNV,1800,19.3,30.2,50.5
Male,60-75,straight,35_50,3,Scotland,own,middling,Con,Oth,1700,17.6,13.7,68.8
Female,45-60,straight,15_25,1,South,rent,middling,Lab,Con,1000,35.9,50.5,13.6
Male,60-75,straight,35_50,3,South,own,high,Con,Con,70300,27.8,50.1,22.1
Male,30-44,straight,25_35,2,North,rent,middling,UKIP,UKIP,2000,17.2,81.1,1.7
Male,30-44,gay,50+,5,North,mortgage,middling,Lab,Lab,3600,5.3,5.5,89.2
Female,75+,straight,15_25,3,North,own,low,Oth,Lab,1200,26.7,14.9,58.4
Female,30-44,straight,25_35,5,North,mortgage,middling,Oth,DNV,2300,16,13,71
Female,75+,straight,5_15,3,South,own,middling,UKIP,UKIP,1500,26.8,71.2,2
Female,30-44,straight,25_35,3,South,mortgage,low,DNV,Con,5700,48.3,29.2,22.5
Female,18-29,straight,15_25,4,North,rent,middling,DNV,Lab,12500,15.3,8.3,76.4
Male,30-44,straight,5_15,3,North,rent,high,DNV,DNV,1000,17.3,50.2,32.5
Male,75+,straight,15_25,1,South,own,middling,UKIP,Con,4000,22.3,75.7,2
Male,30-44,gay,15_25,2,South,rent,low,DNV,DNV,2900,27.2,42,30.7
Female,30-44,straight,35_50,3,South,mortgage,middling,DNV,Oth,1600,18.2,8.6,73.2
Female,18-29,straight,25_35,3,South,mortgage,middling,Oth,Lab,900,11.2,5.3,83.4
Female,75+,straight,25_35,2,South,rent,middling,Con,Con,2300,48.8,37.7,13.5
Male,45-60,straight,25_35,2,Wales,own,high,Lab,Lab,300,11.8,24.1,64.1
Female,30-44,straight,50+,4,London,mortgage,low,Con,Con,3000,44.6,17.5,37.9
Male,45-60,straight,15_25,2,South,own,high,DNV,UKIP,300,19.6,72.6,7.8
Female,60-75,gay,15_25,3,North,own,middling,UKIP,Lab,2900,24.8,57,18.3
Female,60-75,straight,25_35,2,North,mortgage,high,Lab,Lab,900,16.6,24.4,59.1
Male,60-75,straight,25_35,4,South,own,high,Oth,Oth,7100,8.9,13.4,77.7
