"","country","cases","continent","km_centroid_dist_to_china","oecd","pop","gdppc_ppp","temp_jan","temp_feb","temp_year","outbound_tour_groups_Q3_2019","outbound_tour_groups_Q3_2019_improved","outbound_tour_groups_Q1_Q3_2019","outbound_tour_groups_Q1_Q3_2019_improved","inbound_tour_groups_Q3_2019_1","inbound_tour_groups_Q3_2019_1_improved","inbound_tour_groups_Q3_2019_2","inbound_tour_groups_Q3_2019_2_improved","inbound_tour_groups_Q1_Q3_2019_1","inbound_tour_groups_Q1_Q3_2019_1_improved","inbound_tour_groups_Q1_Q3_2019_2","inbound_tour_groups_Q1_Q3_2019_2_improved","total_tourists_Q3","in_tourists_Q3","out_tourists_Q3","total_tourists_Q3_improved","in_tourists_Q3_improved","out_tourists_Q3_improved","wuhan_flights_october","wuhan_flights_november","wuhan_flights_december","wuhan_flights_january","wuhan_flights_february","wuhan_flights_total","wuhan_flight_passengers_december","predicted_rf_all_vars"
"88","Papua New Guinea",0,"Oceania",6377.1266357246,FALSE,8606316,4336.24465709437,27.4,27.3,26.9,0,8091.22583491539,0,21602.1188953635,0,525.594544072409,0,1233.04113771412,0,1919.06105482048,0,2947.35839453009,0,0,0,8616.8203789878,525.594544072409,8091.22583491539,0,0,0,0,0,0,2,19.74092
"89","Peru",0,"Americas",16957.5154588387,FALSE,31989256,14418.070667873,21.9338341,22.518991,19.163948,0,5484.00025744957,0,13993.6913695496,0,1148.53162979746,0,1856.88997000249,0,3511.32467563999,0,4708.18979632626,0,0,0,6632.53188724703,1148.53162979746,5484.00025744957,0,0,0,0,0,0,6,18.5922566666666
"90","Philippines",3,"Asia",2877.5621954443,FALSE,106651922,8951.08565366152,26.7,27.4,28.4,327214,327214,988613,988613,60040,60040,92260,92260,164902,164902,198065,198065,387254,60040,327214,387254,60040,327214,0,1,7,8,11,27,2791,805.442476666667
"91","Poland",0,"Europe",6548.3464399446,TRUE,37978548,31336.6034966686,-3,-1,8.5,0,19932.9051088998,0,48768.8461724305,0,2099.63990010662,0,3454.80116420017,0,5855.21838474715,0,8437.99250512949,0,0,0,22032.5450090064,2099.63990010662,19932.9051088998,0,0,0,0,0,0,36,39.3071366666667
"92","Portugal",2,"Europe",9057.17738317016,TRUE,10281762,33415.4379006894,11.6,12.7,17.5,0,18440.5527681542,0,45117.5820268748,0,1942.44241672283,0,3196.14440664089,0,5416.84531196546,0,7806.25027802172,0,0,0,20382.995184877,1942.44241672283,18440.5527681542,0,0,0,0,0,0,27,15.39067
"93","Qatar",8,"Asia",5115.85571712151,FALSE,2781677,126898.425931605,NA,NA,NA,0,23512.0936739011,0,67833.2359252093,0,2751.2699712123,0,2670.07780925733,0,7680.77246634174,0,7412.31158184634,0,0,0,26263.3636451134,2751.2699712123,23512.0936739011,0,0,0,0,0,0,6,NA
"94","Romania",4,"Europe",6418.05107686897,FALSE,19473936,28206.3570497561,-4,0.4,10.8,0,19170.0315803668,0,46902.3615050533,0,2019.28233604398,0,3322.57877413137,0,5631.12706012086,0,8115.05307001176,0,0,0,21189.3139164108,2019.28233604398,19170.0315803668,0,0,0,0,0,0,22,63.47043
"95","Russia",3,"Europe",2802.34085355249,FALSE,144478050,27147.3335822451,6.1,6,5.218251,722289,722289,1365890,1365890,146201,146201,211337,211337,345661,345661,494946,494946,868490,146201,722289,868490,146201,722289,13,13,13,14,4,57,1603,850.26836
"96","Samoa",0,"Oceania",10359.3652553379,FALSE,196130,6483.53422795339,NA,NA,NA,0,6175.09693410473,0,16486.3990800128,0,401.125530779063,0,941.037699907816,0,1464.59736482014,0,2249.37780221542,0,0,0,6576.22246488379,401.125530779063,6175.09693410473,0,0,0,0,0,0,3,NA
"97","Saudi Arabia",1,"Asia",5771.3612337128,FALSE,33699947,55335.6795892271,13.9548992,15.909798,25.639194,0,27464.6027203122,0,79236.3666867771,0,3213.77320895698,0,3118.93220912839,0,8971.95151137672,0,8658.36091239088,0,0,0,30678.3759292692,3213.77320895698,27464.6027203122,0,0,0,0,0,0,71,15.09006
"98","Senegal",1,"Africa",11438.7381129894,FALSE,15854360,3782.53861264405,21,21,24,0,2844.61435002957,0,7473.56004771168,0,0,0,0,0,0,0,0,0,0,0,2844.61435002957,0,2844.61435002957,0,0,0,0,0,0,3,19.0097866666667
"99","Serbia",0,"Europe",NA,FALSE,6982084,17434.916125391,NA,NA,NA,0,17998.5242550257,0,44036.0928790151,0,1895.8811805117,0,3119.53135834598,0,5287.00104378114,0,7619.13087618568,0,0,0,19894.4054355374,1895.8811805117,17998.5242550257,0,0,0,0,0,0,8,NA
"100","Seychelles",0,"Africa",6785.45279030462,FALSE,96762,30557.0757169393,NA,NA,NA,0,1969.73813779601,0,5175.02706506885,0,0,0,0,0,0,0,0,0,0,0,1969.73813779601,0,1969.73813779601,0,0,0,0,0,0,8,NA
"101","Singapore",110,"Asia",3904.8786193645,FALSE,5638676,101531.630228067,27,27,27,812439,812439,2068741,2068741,123790,123790,175735,175735,355602,355602,473065,473065,936229,123790,812439,936229,123790,812439,45,47,53,45,2,282,10319,613.936570000002
"102","Slovenia",0,"Europe",7123.57789157455,TRUE,2067372,38048.7846591976,0.3,1.9,10.9,0,16608.4838350333,0,40635.1502143252,0,1749.46076097768,0,2878.60745713647,0,4878.68172563783,0,7030.69930629444,0,0,0,18357.9445960109,1749.46076097768,16608.4838350333,0,0,0,0,0,0,6,23.1445666666667
"103","South Africa",0,"Africa",10960.5254716265,FALSE,57779622,13686.8823613158,21.4299941,21.20307,17.293285,35007,35007,92706,92706,0,0,0,0,0,0,0,0,35007,0,35007,35007,0,35007,0,0,0,0,0,0,137,102.971703333333
"104","South Korea",5328,"Asia",2148.87768817436,TRUE,51635256,40111.7757574615,-4,-2,12.5,463647,463647,1199568,1199568,215840,215840,542203,542203,679648,679648,1385621,1385621,679487,215840,463647,679487,215840,463647,43,34,37,35,2,200,7354,3555.95770333333
"105","Spain",151,"Europe",8718.64414997104,TRUE,46723749,39715.4390594866,9.0999389,10.269032,16.780879,71553,71553,199118,199118,34934,34934,65205,65205,76942,76942,133163,133163,106487,34934,71553,106487,34934,71553,0,0,0,0,0,0,200,47.8005700000002
"106","Sri Lanka",1,"Asia",3976.63260524184,FALSE,21670000,13473.6630942698,26.6,26.9,27.4,0,26764.9275463453,0,77217.7786441736,0,3131.90064914005,0,3039.4757735762,0,8743.38633610467,0,8437.78462227164,0,0,0,29896.8281954853,3131.90064914005,26764.9275463453,0,0,0,0,0,0,151,17.0403866666667
"107","Sweden",24,"Europe",6316.7582335433,TRUE,10183175,53208.8843603785,-3,-2,6.6,74799,74799,161658,161658,7712,7712,13804,13804,16971,16971,31603,31603,82511,7712,74799,82511,7712,74799,0,0,0,0,0,0,111,43.3388700000001
"108","Switzerland",37,"Europe",7532.68359275346,TRUE,8516543,68060.9410452501,1,1,10,237772,237772,617524,617524,11170,11170,15490,15490,26014,26014,35841,35841,248942,11170,237772,248942,11170,237772,0,0,0,0,0,0,93,43.4732700000001
"109","Taiwan",42,"Asia",2176.06575941079,FALSE,23780000,NA,16.1,16.5,23,1488348,1488348,4201576,4201576,401221,401221,655007,655007,1153698,1153698,1813780,1813780,1889569,401221,1488348,1889569,401221,1488348,53,51,53,48,4,265,8388,3584.25125333333
"110","Tajikistan",0,"Asia",2887.14810038673,FALSE,9100837,3449.77931578962,2.1,3.8,14.7,0,25390.2521844572,0,73251.7907812114,0,2971.04287544352,0,2883.36504053738,0,8294.31664387781,0,8004.41096157072,0,0,0,28361.2950599008,2971.04287544352,25390.2521844572,0,0,0,0,0,0,15,75.7249533333333
"111","Tanzania",0,"Africa",8586.31261584157,FALSE,56318348,3227.0342112812,26.9214099,27.135199,25.470137,0,3062.10480078432,0,8044.9654276721,0,0,0,0,0,0,0,0,0,0,0,3062.10480078432,0,3062.10480078432,0,0,0,0,0,0,13,103.41756
"112","Thailand",43,"Asia",2395.45698854199,FALSE,69428524,19051.3333817112,26.5606131,27.948519,28.334801,2976330,2976330,8022963,8022963,121120,121120,150940,150940,364743,364743,453460,453460,3097450,121120,2976330,3097450,121120,2976330,200,184,189,203,12,1141,24653,999.668549999999
"113","Togo",0,"Africa",10579.1363336986,FALSE,7889094,1773.89663170619,26.8,29.4,28.1,0,2724.85793341148,0,7158.92802362562,0,0,0,0,0,0,0,0,0,0,0,2724.85793341148,0,2724.85793341148,0,0,0,0,0,0,1,18.6449133333333
"114","Tunisia",1,"Africa",8182.79448457161,FALSE,11565204,12502.8201886876,11.5,12,18.4,0,2790.49058866922,0,7331.36250148529,0,0,0,0,0,0,0,0,0,0,0,2790.49058866922,0,2790.49058866922,0,0,0,0,0,0,1,20.97057
"115","Turkey",0,"Asia",5879.93474302118,TRUE,82319724,28068.8594133348,4.270458,4.675045,13.141956,0,28879.7659672759,0,83319.1635544388,0,3379.36867653784,0,3279.64082294225,0,9434.24751331563,0,9104.4985924783,0,0,0,32259.1346438137,3379.36867653784,28879.7659672759,13,13,13,11,0,50,1951,126.32581
"116","Turkmenistan",0,"Asia",3879.73183603217,FALSE,5850908,19304.1013058699,3.5,5.5,17.1,0,24690.2568168408,0,71232.2789684124,0,2889.13284813495,0,2803.872243189,0,8065.64686990004,0,7783.7337287141,0,0,0,27579.3896649757,2889.13284813495,24690.2568168408,0,0,0,0,0,0,1,26.7028866666667
"117","Ukraine",1,"Europe",5847.99821117887,FALSE,44622516,9233.15046924005,-6,-5,9.016027,0,20117.0345615137,0,49219.3465335812,0,2119.03524380493,0,3486.71475851965,0,5909.3057418197,0,8515.93813987974,0,0,0,22236.0698053187,2119.03524380493,20117.0345615137,0,0,0,0,1,1,17,82.7804166666667
"118","United Arab Emirates",27,"Asia",4907.48696654702,FALSE,9630959,75075.2574109804,19,21,29,0,25479.9623800596,0,73510.6079221938,0,2981.54032287187,0,2893.55269995488,0,8323.62256660376,0,8032.69257405048,0,0,0,28461.5027029315,2981.54032287187,25479.9623800596,18,16,16,15,0,65,2549,84.27369
"119","United Kingdom",51,"Europe",7752.89432686432,TRUE,66488991,45973.5735044198,4.2944338,4.5,10.244338,224056,224056,507016,507016,46559,46559,73869,73869,148595,148595,218706,218706,270615,46559,224056,270615,46559,224056,13,13,13,11,0,63,3080,118.150816666666
"120","United States",108,"Americas",11252.438571085,TRUE,327167434,62794.5856522398,2,1,11.5,285123,285123,785601,785601,134331,134331,219500,219500,392543,392543,663577,663577,419454,134331,285123,419454,134331,285123,27,26,26,25,4,108,7625,643.434276666668
"121","Uzbekistan",0,"Asia",3523.95091633458,FALSE,32955400,8556.05151229768,1.9,3.9,14.8,0,27429.2026115097,0,79134.2360996214,0,3209.63086171744,0,3114.91210584581,0,8960.38724216418,0,8647.20084131791,0,0,0,30638.8334732272,3209.63086171744,27429.2026115097,0,0,0,0,0,0,104,25.8147233333333
"122","Vanuatu",0,"Oceania",8750.88605278811,FALSE,292680,3221.1498234158,NA,NA,NA,0,6377.93597190456,0,17027.9428584926,0,414.301666727764,0,971.948823023706,0,1512.70632949137,0,2323.26516526712,0,0,0,6792.23763863232,414.301666727764,6377.93597190456,0,0,0,0,0,0,1,NA
"123","Vietnam",16,"Asia",2224.41133362561,FALSE,95540395,7447.81433404948,21.511499,22.313838,25.512117,1303990,1303990,4147629,4147629,61120,61120,97965,97965,160548,160548,260621,260621,1365110,61120,1303990,1365110,61120,1303990,27,23,22,26,0,131,4340,743.184646666668
"124","Zambia",0,"Africa",9683.84851721234,FALSE,17351822,4223.90693570847,21.537078,21.502052,20.150261,0,2860.099940239,0,7514.24482043077,0,0,0,0,0,0,0,0,0,0,0,2860.099940239,0,2860.099940239,0,0,0,0,0,0,10,18.85373
