warno,statenum,stateabb,pbdeadlow,pbdeadhigh,pbdeadbest,tbdeadlow,tbdeadhigh,tbdeadbest,yrbeg1,monbeg1,daybeg1,yrend1,monend1,dayend1,yrbeg2,monbeg2,daybeg2,yrend2,monend2,dayend2,mindur,maxdur,deaths,intside,initiate,sysstat,prwarpop,prwararm
750,679,YEM,4000,7000,5500,4000,7000,5500,1994,2,21,1994,7,7,-999,-999,-999,-999,-999,-999,137,137,7000,0,1,12300,66,3
752,770,PAK,324,2625,1225,324,2625,1225,1994,11,4,1995,12,31,-999,-999,-999,-999,-999,-999,423,423,2000,0,1,122800,577,3
753,500,UGA,750,750,750,750,750,750,1996,2,8,-888,-888,-888,-888,-888,-888,-888,-888,-888,-888,-888,10000,0,1,-999,-999,3
754,450,LBR,25,999,,25,999,,1996,4,5,1996,8,20,-999,-999,-999,-999,-999,-999,138,138,3000,0,1,-999,-999,3
756,645,IRQ,300,1500,1500,1500,1500,1500,1996,8,31,1996,9,7,-999,-999,-999,-999,-999,-999,8,8,1500,0,1,-999,-999,3
757,490,ZAI,4000,4000,4000,4000,4000,4000,1996,10,8,1997,5,17,-999,-999,-999,-999,-999,-999,222,222,1000,0,1,-999,-999,3
757,500,UGA,,,,4000,4000,4000,1997,1,1,1997,1,30,-999,-999,-999,-999,-999,-999,30,30,-999,2,1,-999,-999,3
757,517,RWA,,,,4000,4000,4000,1997,1,1,1997,5,17,-999,-999,-999,-999,-999,-999,137,137,-999,2,1,-999,-999,3
757,540,ANG,,,,4000,4000,4000,1997,4,28,1997,5,17,-999,-999,-999,-999,-999,-999,20,20,-999,2,1,-999,-999,3
760,540,ANG,,,,7000,10000,7000,1997,10,10,1997,10,15,-999,-999,-999,-999,-999,-999,6,6,-999,2,1,-999,-999,3
760,484,CON,7000,10000,7000,7000,10000,7000,1997,6,5,1997,10,15,-999,-999,-999,-999,-999,-999,133,133,4000,0,1,-999,-999,3
