ID,Year,WarNo,WarName,YrBeg1,bdeadlow,bdeadhigh,bdeadbest,yrlydata,MonBeg1,DayBeg1,YrEnd1,MonEnd1,DayEnd1,YrBeg2,MonBeg2,DayBeg2,YrEnd2,MonEnd2,DayEnd2,WarType,NonState,Winner,Interven,MinDur,MaxDur,StDeaths,ToDeaths,CenSubSy,MajPowIn,WestHem,Europe,Africa,MidEast,Asia,Oceania,Edition,Version
4301953,1953,430,Moroccan Independence,1953,100,100,100,1,-999,-999,1956,-999,-999,-999,-999,-999,-999,-999,-999,2,Morocco,2,1,732,1461,3000,-999,0,1,0,0,0,1,0,0,2,3
4301954,1954,430,Moroccan Independence,1953,300,300,300,1,-999,-999,1956,-999,-999,-999,-999,-999,-999,-999,-999,2,Morocco,2,1,732,1461,3000,-999,0,1,0,0,0,1,0,0,2,3
4301955,1955,430,Moroccan Independence,1953,1500,1500,1500,1,-999,-999,1956,-999,-999,-999,-999,-999,-999,-999,-999,2,Morocco,2,1,732,1461,3000,-999,0,1,0,0,0,1,0,0,2,3
4301956,1956,430,Moroccan Independence,1953,1100,1100,1100,1,-999,-999,1956,-999,-999,-999,-999,-999,-999,-999,-999,2,Morocco,2,1,732,1461,3000,-999,0,1,0,0,0,1,0,0,2,3
4321954,1954,432,Franco-Algerian of 1954,1954,900,900,900,1,11,1,1962,3,17,-999,-999,-999,-999,-999,-999,2,Algeria,2,0,2694,2694,18000,100000,0,1,0,0,0,1,0,0,0,3
4321955,1955,432,Franco-Algerian of 1954,1954,27195,27195,27195,1,11,1,1962,3,17,-999,-999,-999,-999,-999,-999,2,Algeria,2,0,2694,2694,18000,100000,0,1,0,0,0,1,0,0,0,3
4321956,1956,432,Franco-Algerian of 1954,1954,27195,27195,27195,1,11,1,1962,3,17,-999,-999,-999,-999,-999,-999,2,Algeria,2,0,2694,2694,18000,100000,0,1,0,0,0,1,0,0,0,3
4321957,1957,432,Franco-Algerian of 1954,1954,38695,38695,38695,1,11,1,1962,3,17,-999,-999,-999,-999,-999,-999,2,Algeria,2,0,2694,2694,18000,100000,0,1,0,0,0,1,0,0,0,3
4321958,1958,432,Franco-Algerian of 1954,1954,38695,38695,38695,1,11,1,1962,3,17,-999,-999,-999,-999,-999,-999,2,Algeria,2,0,2694,2694,18000,100000,0,1,0,0,0,1,0,0,0,3
4321959,1959,432,Franco-Algerian of 1954,1954,38695,38695,38695,1,11,1,1962,3,17,-999,-999,-999,-999,-999,-999,2,Algeria,2,0,2694,2694,18000,100000,0,1,0,0,0,1,0,0,0,3
4321960,1960,432,Franco-Algerian of 1954,1954,38695,38695,38695,1,11,1,1962,3,17,-999,-999,-999,-999,-999,-999,2,Algeria,2,0,2694,2694,18000,100000,0,1,0,0,0,1,0,0,0,3
4321961,1961,432,Franco-Algerian of 1954,1954,39876,39876,39876,1,11,1,1962,3,17,-999,-999,-999,-999,-999,-999,2,Algeria,2,0,2694,2694,18000,100000,0,1,0,0,0,1,0,0,0,3
4321962,1962,432,Franco-Algerian of 1954,1954,2080,2080,2080,1,11,1,1962,3,17,-999,-999,-999,-999,-999,-999,2,Algeria,2,0,2694,2694,18000,100000,0,1,0,0,0,1,0,0,0,3
4331955,1955,433,Cameroon,1955,16,5333,711,0,-999,-999,1960,-999,-999,-999,-999,-999,-999,-999,-999,2,Cameroon,2,1,1463,2192,32000,-999,0,1,0,0,1,0,0,0,2,3
4331956,1956,433,Cameroon,1955,16,5333,711,0,-999,-999,1960,-999,-999,-999,-999,-999,-999,-999,-999,2,Cameroon,2,1,1463,2192,32000,-999,0,1,0,0,1,0,0,0,2,3
4331957,1957,433,Cameroon,1955,17,5333,712,0,-999,-999,1960,-999,-999,-999,-999,-999,-999,-999,-999,2,Cameroon,2,1,1463,2192,32000,-999,0,1,0,0,1,0,0,0,2,3
4331958,1958,433,Cameroon,1955,17,5333,712,0,-999,-999,1960,-999,-999,-999,-999,-999,-999,-999,-999,2,Cameroon,2,1,1463,2192,32000,-999,0,1,0,0,1,0,0,0,2,3
4331959,1959,433,Cameroon,1955,17,5334,712,0,-999,-999,1960,-999,-999,-999,-999,-999,-999,-999,-999,2,Cameroon,2,1,1463,2192,32000,-999,0,1,0,0,1,0,0,0,2,3
4331960,1960,433,Cameroon,1955,17,5334,712,0,-999,-999,1960,-999,-999,-999,-999,-999,-999,-999,-999,2,Cameroon,2,1,1463,2192,32000,-999,0,1,0,0,1,0,0,0,2,3
4341961,1961,434,Angolan-Portugese,1961,3666,6000,5266,0,2,3,1975,11,11,-999,-999,-999,-999,-999,-999,2,Angola,2,0,5395,5395,8000,55000,0,0,0,0,1,0,0,0,2,3
4341962,1962,434,Angolan-Portugese,1961,3666,6000,5266,0,2,3,1975,11,11,-999,-999,-999,-999,-999,-999,2,Angola,2,0,5395,5395,8000,55000,0,0,0,0,1,0,0,0,2,3
4341963,1963,434,Angolan-Portugese,1961,3666,6000,5266,0,2,3,1975,11,11,-999,-999,-999,-999,-999,-999,2,Angola,2,0,5395,5395,8000,55000,0,0,0,0,1,0,0,0,2,3
