warno,statenum,stateabb,warname,pbdeadlow,pbdeadhigh,pbdeadbest,tbdeadlow,tbdeadhigh,tbdeadbest,yrbeg1,monbeg1,daybeg1,yrend1,monend1,dayend1,yrbeg2,monbeg2,daybeg2,yrend2,monend2,dayend2,duration,deaths,outcome,initiate,sysstat,prwarpop,prwararm,westhem,europe,africa,mideast,asia,oceania,version,censubsy,subsysea,majpowin,majpowea,edition
124,150,PAR,Chaco,12000,12000,12000,37000,37000,37000,1932,6,15,1935,6,12,-999,-999,-999,-999,-999,-999,1093,36000,1,1,1,918,3,1,0,0,0,0,0,3,0,0,0,0,0
125,670,SAU,Saudi-Yemeni,100,100,100,2100,2100,2100,1934,3,20,1934,5,13,-999,-999,-999,-999,-999,-999,55,100,1,1,1,2924,4,0,0,0,1,0,0,3,0,0,0,0,4
125,678,YAR,Saudi-Yemeni,2000,2000,2000,2100,2100,2100,1934,3,20,1934,5,13,-999,-999,-999,-999,-999,-999,55,2000,2,0,1,2569,18,0,0,0,1,0,0,3,0,0,0,0,4
127,530,ETH,Italo-Ethiopian,16000,75000,16000,20359,79359,20359,1935,10,3,1936,5,9,-999,-999,-999,-999,-999,-999,220,16000,2,0,1,12189,100,0,0,1,0,0,0,3,0,0,1,0,0
127,325,ITA,Italo-Ethiopian,4359,4359,4359,20359,79359,20359,1935,10,3,1936,5,9,-999,-999,-999,-999,-999,-999,220,4000,1,1,4,42808,1380,0,0,1,0,0,0,3,0,0,1,0,0
130,740,JPN,Sino-Japanese,319647,319647,319647,1860710,1860710,1860710,1937,7,7,1941,12,7,-999,-999,-999,-999,-999,-999,1615,250000,1,1,4,70630,393,0,0,0,0,1,0,3,0,0,1,0,0
130,710,CHN,Sino-Japanese,1541063,1541063,1541063,1860710,1860710,1860710,1937,7,7,1941,12,7,-999,-999,-999,-999,-999,-999,1615,750000,2,0,1,512523,2000,0,0,0,0,1,0,3,0,0,1,0,0
133,364,USR,Changkufeng,717,1200,717,1243,1726,1243,1938,7,29,1938,8,11,-999,-999,-999,-999,-999,-999,14,1200,2,1,4,180602,1566,0,0,0,0,1,0,3,0,0,1,1,1
133,740,JPN,Changkufeng,526,526,526,1243,1726,1243,1938,7,29,1938,8,11,-999,-999,-999,-999,-999,-999,14,526,1,0,4,71013,370,0,0,0,0,1,0,3,0,0,1,1,1
136,364,USR,Nomonhan,6831,6831,6831,18271,18271,18271,1939,5,11,1939,9,16,-999,-999,-999,-999,-999,-999,129,5000,1,0,4,170466,1789,0,0,0,0,1,0,3,0,0,1,1,0
136,712,MON,Nomonhan,3000,3000,3000,18271,18271,18271,1939,5,11,1939,9,16,-999,-999,-999,-999,-999,-999,129,3000,1,0,1,657,2,0,0,0,0,1,0,3,0,0,1,1,0
136,740,JPN,Nomonhan,8440,8440,8440,18271,18271,18271,1939,5,11,1939,9,16,-999,-999,-999,-999,-999,-999,129,20000,2,1,4,71380,957,0,0,0,0,1,0,3,0,0,1,1,0
139,920,NEW,World War II,10033,10033,10033,24494079,24494079,24494079,1939,9,3,1945,8,14,-999,-999,-999,-999,-999,-999,2173,12200,1,0,1,1627,1,0,0,1,1,1,1,3,0,0,1,1,0
139,355,BUL,World War II,4585,4585,4585,24494079,24494079,24494079,1941,12,13,1944,9,8,-999,-999,-999,-999,-999,-999,1001,9000,2,0,1,6674,-999,0,1,0,0,0,0,3,0,0,1,1,0
139,360,RUM,World War II,109941,109941,109941,24494079,24494079,24494079,1944,9,9,1945,5,7,-999,-999,-999,-999,-999,-999,241,10000,1,0,1,16642,975,0,1,0,0,0,0,3,0,0,1,1,0
139,375,FIN,World War II,79547,79547,79547,24494079,24494079,24494079,1941,6,25,1944,9,19,-999,-999,-999,-999,-999,-999,1183,65000,2,0,1,3838,-999,0,1,0,0,0,0,3,0,0,1,1,0
139,385,NOR,World War II,3348,3348,3348,24494079,24494079,24494079,1940,4,9,1940,6,9,-999,-999,-999,-999,-999,-999,62,3000,1,0,1,3014,4,0,1,0,0,0,0,3,0,0,1,1,0
139,530,ETH,World War II,5000,5000,5000,24494079,24494079,24494079,1941,1,24,1941,7,3,-999,-999,-999,-999,-999,-999,161,5000,1,0,1,13437,-999,0,0,1,0,0,0,3,0,0,1,1,0
139,560,SAF,World War II,6840,6840,6840,24494079,24494079,24494079,1939,9,6,1945,8,14,-999,-999,-999,-999,-999,-999,2170,8700,1,0,1,10170,5,0,0,1,0,0,0,3,0,0,1,1,0
139,710,CHN,World War II,750000,750000,750000,24494079,24494079,24494079,1941,12,7,1945,8,14,-999,-999,-999,-999,-999,-999,1347,1350000,1,0,1,530248,2584,0,0,0,0,1,0,3,0,0,1,1,0
139,712,MON,World War II,3000,3000,3000,24494079,24494079,24494079,1945,8,10,1945,8,14,-999,-999,-999,-999,-999,-999,5,3000,1,0,1,710,80,0,0,0,0,1,0,3,0,0,1,1,0
139,355,BUL,World War II,4586,4586,4586,24494079,24494079,24494079,1944,9,9,1945,5,7,-999,-999,-999,-999,-999,-999,241,1000,1,0,1,6886,450,0,1,0,0,0,0,3,0,0,1,1,0
139,900,AUL,World War II,23365,23365,23365,24494079,24494079,24494079,1939,9,3,1945,8,14,-999,-999,-999,-999,-999,-999,2173,33826,1,0,1,6968,8,0,0,1,1,1,1,3,0,0,1,1,0
139,360,RUM,World War II,109941,109941,109941,24494079,24494079,24494079,1941,6,22,1944,8,23,-999,-999,-999,-999,-999,-999,1159,290000,2,0,1,17948,-999,0,1,0,0,0,0,3,0,0,1,1,0
139,740,JPN,World War II,1967435,1967435,1967435,24494079,24494079,24494079,1941,12,7,1945,8,14,-999,-999,-999,-999,-999,-999,1347,1740000,2,0,4,72218,3075,0,0,0,0,1,1,3,0,0,1,1,0
139,255,GMY,World War II,3600000,3600000,3600000,24494079,24494079,24494079,1939,9,1,1945,5,7,-999,-999,-999,-999,-999,-999,2076,3500000,2,1,4,79375,2750,0,1,1,1,0,0,3,0,0,1,1,0
139,140,BRA,World War II,943,943,943,24494079,24494079,24494079,1944,7,6,1945,5,7,-999,-999,-999,-999,-999,-999,306,1000,1,0,1,45141,-999,0,1,0,0,0,0,3,0,0,1,1,0
139,350,GRC,World War II,163350,163350,163350,24494079,24494079,24494079,1940,10,25,1941,4,23,-999,-999,-999,-999,-999,-999,181,18300,1,0,1,7189,105,0,1,0,0,0,0,3,0,0,1,1,0
139,200,UKG,World War II,361130,361130,361130,24494079,24494079,24494079,1939,9,3,1945,8,14,-999,-999,-999,-999,-999,-999,2173,418765,1,0,4,47834,394,0,1,1,1,1,0,3,0,0,1,1,0
139,210,NTH,World War II,56344,56344,56344,24494079,24494079,24494079,1940,5,10,1940,5,14,-999,-999,-999,-999,-999,-999,5,7900,1,0,1,8943,64,0,1,0,0,0,0,3,0,0,1,1,0
139,211,BEL,World War II,27460,27460,27460,24494079,24494079,24494079,1940,5,10,1940,5,28,-999,-999,-999,-999,-999,-999,19,9600,1,0,1,8355,82,0,1,0,0,0,0,3,0,0,1,1,0
139,364,USR,World War II,13329600,13329600,13329600,24494079,24494079,24494079,1941,6,22,1945,5,7,1945,8,8,1945,8,14,1423,7500000,1,0,4,170051,4207,0,1,0,0,1,0,3,0,0,1,1,0
139,220,FRN,World War II,160599,160599,160599,24494079,24494079,24494079,1940,7,7,1941,7,14,-999,-999,-999,-999,-999,-999,373,2500,2,0,1,41726,5000,0,1,0,0,0,0,3,0,0,1,1,0
139,290,POL,World War II,1820000,1820000,1820000,24494079,24494079,24494079,1939,9,1,1939,9,27,-999,-999,-999,-999,-999,-999,27,320000,1,0,1,30171,275,0,1,0,0,0,0,3,0,0,1,1,0
139,310,HUN,World War II,219935,219935,219935,24494079,24494079,24494079,1941,6,27,1945,1,20,-999,-999,-999,-999,-999,-999,1304,136000,2,0,1,9114,-999,0,1,0,0,0,0,3,0,0,1,1,0
139,325,ITA,World War II,74511,74511,74511,24494079,24494079,24494079,1940,6,10,1943,9,2,-999,-999,-999,-999,-999,-999,1180,174500,2,0,4,44047,1634,0,1,0,0,0,0,3,0,0,1,1,0
