ID,Year,WarNo,WarName,bdeadlow,bdeadhigh,bdeadbest,yrlydata,YrBeg1,MonBeg1,DayBeg1,YrEnd1,MonEnd1,DayEnd1,YrBeg2,MonBeg2,DayBeg2,YrEnd2,MonEnd2,DayEnd2,Duration,Deaths,CenSubSy,SubSysEa,MajPowIn,MajPowEa,WestHem,Europe,Africa,MidEast,Asia,Oceania,Edition,Version
1211932,1932,121,Manchurian,6667,20000,13333,0,1931,12,19,1933,5,6,-999,-999,-999,-999,-999,-999,505,60000,0,0,1,0,0,0,0,0,1,0,0,3
1211933,1933,121,Manchurian,6667,20000,13334,0,1931,12,19,1933,5,6,-999,-999,-999,-999,-999,-999,505,60000,0,0,1,0,0,0,0,0,1,0,0,3
1241932,1932,124,Chaco,9250,9250,9250,0,1932,6,15,1935,6,12,-999,-999,-999,-999,-999,-999,1093,92661,0,0,0,0,1,0,0,0,0,0,0,3
1241933,1933,124,Chaco,9250,9250,9250,0,1932,6,15,1935,6,12,-999,-999,-999,-999,-999,-999,1093,92661,0,0,0,0,1,0,0,0,0,0,0,3
1241934,1934,124,Chaco,9250,9250,9250,0,1932,6,15,1935,6,12,-999,-999,-999,-999,-999,-999,1093,92661,0,0,0,0,1,0,0,0,0,0,0,3
1241935,1935,124,Chaco,9250,9250,9250,0,1932,6,15,1935,6,12,-999,-999,-999,-999,-999,-999,1093,92661,0,0,0,0,1,0,0,0,0,0,0,3
1251934,1934,125,Saudi-Yemeni,2100,2100,2100,1,1934,3,20,1934,5,13,-999,-999,-999,-999,-999,-999,55,2100,0,0,0,0,0,0,0,1,0,0,4,3
1271935,1935,127,Italo-Ethiopian,10179,39679,10179,0,1935,10,3,1936,5,9,-999,-999,-999,-999,-999,-999,220,20000,0,0,1,0,0,0,1,0,0,0,0,3
1271936,1936,127,Italo-Ethiopian,10180,39680,10180,0,1935,10,3,1936,5,9,-999,-999,-999,-999,-999,-999,220,20000,0,0,1,0,0,0,1,0,0,0,0,3
1301937,1937,130,Sino-Japanese,326347,326347,326347,1,1937,7,7,1941,12,7,-999,-999,-999,-999,-999,-999,1615,1000000,0,0,1,0,0,0,0,0,1,0,0,3
1301938,1938,130,Sino-Japanese,652880,652880,652880,1,1937,7,7,1941,12,7,-999,-999,-999,-999,-999,-999,1615,1000000,0,0,1,0,0,0,0,0,1,0,0,3
1301939,1939,130,Sino-Japanese,307785,307785,307785,1,1937,7,7,1941,12,7,-999,-999,-999,-999,-999,-999,1615,1000000,0,0,1,0,0,0,0,0,1,0,0,3
1301940,1940,130,Sino-Japanese,307785,307785,307785,1,1937,7,7,1941,12,7,-999,-999,-999,-999,-999,-999,1615,1000000,0,0,1,0,0,0,0,0,1,0,0,3
1301941,1941,130,Sino-Japanese,265913,265913,265913,1,1937,7,7,1941,12,7,-999,-999,-999,-999,-999,-999,1615,1000000,0,0,1,0,0,0,0,0,1,0,0,3
1331938,1938,133,Changkufeng,1243,1726,1243,1,1938,7,29,1938,8,11,-999,-999,-999,-999,-999,-999,14,1726,0,0,1,1,0,0,0,0,1,0,1,3
1361939,1939,136,Nomonhan,18721,18721,18721,1,1939,5,11,1939,9,16,-999,-999,-999,-999,-999,-999,129,28000,0,0,1,1,0,0,0,0,1,0,0,3
1391939,1939,139,World War II: European Theater & Misc.,291079,273900,273900,1,1939,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,1,0,0,0,0,0,3
1391940,1940,139,World War II: European Theater & Misc.,4171000,4073357,4073357,1,1939,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,1,0,0,0,0,0,3
1391941,1941,139,World War II: European Theater & Misc.,2671000,2589467,2589467,1,1939,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,1,0,0,0,0,0,3
1391942,1942,139,World War II: European Theater & Misc.,4270000,4103655,4103655,1,1939,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,1,0,0,0,0,0,3
1391943,1943,139,World War II: European Theater & Misc.,4130000,4073357,4073357,1,1939,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,1,0,0,0,0,0,3
1391944,1944,139,World War II: European Theater & Misc.,4130000,4073357,4073357,1,1939,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,1,0,0,0,0,0,3
1391945,1945,139,World War II: European Theater & Misc.,1810000,1636679,1636679,1,1939,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,1,0,0,0,0,0,3
1401941,1941,140,World War II: Pacific Theater,188412,188412,188412,1,1941,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,0,0,0,1,0,0,3
1401942,1942,140,World War II: Pacific Theater,491357,491357,491357,1,1941,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,0,0,0,1,0,0,3
1401943,1943,140,World War II: Pacific Theater,237317,237317,237317,1,1941,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,0,0,0,1,0,0,3
1401944,1944,140,World War II: Pacific Theater,504098,504098,504098,1,1941,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,0,0,0,1,0,0,3
1401945,1945,140,World War II: Pacific Theater,1510768,1510768,1510768,1,1941,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,0,0,0,1,0,0,3
