country,year,experts,party_id,party,vote,seat,electionyear,family,govt,position,eu_salience,eu_dissent,eu_asylum,eu_budgets,lrgen,lrecon,lrecon_clear,lrecon_salience,galtan,galtan_clear,galtan_salience,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,ethnic_minorities,galtan_new,galtan_new_clear,galtan_new_salience,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,party_name,eu_position,eu_budget,immigrate_salience,multiculture,multiculture_salience,multiculture_dissent
gr,2017,13,413,Potami,4.0999999,3.7,2015,5. socialist,0,6.8461537,8.3076925,1.2307693,6.6923075,6,5.6923075,7.6153846,7.4615383,7.9230771,1.3846154,9,8,3.9230769,6.2307692,2.1538463,2.9166667,6.6923075,2.4545455,1.3333334,1.7692307,8,8.083333,2.9166667,2.7692308,7.3846154,5.4615383,,,,,,,
gr,2017,13,414,DIMAR,.40000001,.30000001,2015,5. socialist,0,6.5,6.9230771,1.9166666,6.8000002,5.2222223,3.8461537,4,4.6999998,7.5384617,1.7692307,8.083333,6.6363635,2.909091,6.5454545,2.090909,2.0999999,6.4545455,1.7777778,1.4166666,1.6923077,7.0769229,7.3333335,3.5454545,2.6363637,6.818182,4.5833335,,,,,,,
gr,2017,13,415,XA,7,6,2015,1. radical TAN,0,1.2307693,3.3846154,.76923078,1.3636364,1.3846154,9.9230766,4.25,5.6923075,4.5384617,10,9.9230766,8,9.2307692,9.4615383,.15384616,9.8999996,8,.27272728,10,9.916667,9.9230766,9,7.5833335,9.3846149,8.6153851,9.4615383,,,,,,,
gr,2017,13,450,EK,3.4000001,3,2015,5. socialist,0,4.75,4.8461537,1.8888888,4,3.25,5.6363635,5.5,2.8461537,5.7692308,6.8333335,4.7692308,4.181818,6.5,4.3333335,3,7.8571429,3.4285715,3.2857144,8,6.7272725,3.8181818,4.5999999,7.375,7.0833335,8.333333,8.3846149,,,,,,,
esp,2017,14,501,PSOE,22.629999,24.299999,2016,5. socialist,0,6.7142859,5.9285712,1.6428572,5.6923075,4.75,3.8571429,3.7857144,6.9285712,7.4285712,2.8571429,8.1428576,5.9285712,4,4.7857141,1.5833334,4,4.5,2,3.75,3.9285715,6.6923075,5.5,3.5714285,2.1428571,4.9285712,4.9285712,,,,,,,
esp,2017,14,502,PP,33.009998,39.139999,2016,2. conservative,1,6.6428571,5.5714288,.78571427,3.9230769,5.1666665,7.1428571,7.9285712,8.5,8,8.2857141,8.0714283,5.9285712,8.0714283,6.2857141,1.1666666,8.4615383,4.9166665,1.8181819,8.083333,8.6428576,7.1666665,6.1428571,.78571427,1,1.4285715,7.5,,,,,,,
esp,2017,14,504,IU,2.28,2.286,2016,6. radical left,0,4.5384617,6,3.3333333,6.4166665,2.5454545,2,1.3571428,8.7692308,8.4285717,1.3846154,9.0769234,6.1666665,1.2857143,6.6428571,1.7272727,2.0769231,5.8461537,1.5555556,2.0833333,1.8571428,7.5,6.5714288,8.2142859,6.4285712,7.9285712,4.9230771,,,,,,,
esp,2017,14,506,EAJ/PNV,1.1900001,1.4299999,2016,8. regionalist,0,6.2857141,5.9166665,1.8571428,4.875,5,5.8333335,5.4285712,6.6153846,7.3571429,6.2142859,7,5.181818,4.6666665,5.125,1.8333334,6.1428571,3.2857144,1.6,2.8,6.5,6.0999999,5.0999999,4.1666665,1.8461539,4.7777777,6.4444447,,,,,,,
esp,2017,14,507,EA/EH Bildu,.76999998,.56999999,2016,8. regionalist,0,4,5.3636365,1.2,5.6666665,3,1.4285715,1.2142857,8,7.6428571,1.7272727,7.7777777,5.25,1.375,5.7142859,1.5714285,3,4,1.5,.5,1.9090909,6.6666665,6.4444447,7.6363635,7.25,6.625,3.5,,,,,,,
esp,2017,14,511,ERC-CatSI,2.6600001,2.5699999,2016,8. regionalist,0,5.4285712,7.1538463,2.9230769,5.9166665,3.7,3.3571429,3.2307692,5.9285712,4.8571429,3.2142856,6.4285712,3.7857144,2.5833333,4.75,1.75,4.2727275,4,2.2857144,.69999999,3.3636363,6.0999999,5.25,8.4285717,5.5,5.7857141,4.25,,,,,,,
